id,name,club,age,league,nationality,height_cm,weight_kg,pace,shooting,passing,dribbling,defense,physical,gk_habilities,position
7105,A. Tello,Bari,20,Italian Serie B,Colombia,181,80,81,59,63,71,61,75,10,Midfielder
7106,R. Aguilar,Montpellier Hérault SC,24,French Ligue 1,France,172,71,74,35,55,63,66,61,12,Defender
7107,Dénis Duarte,Vitória Guimarães,23,Portuguese Primeira Liga,Portugal,190,84,55,41,47,54,67,73,10,Defender
7108,N. Gjorgjev,FC Twente,19,Holland Eredivisie,FYR Macedonia,174,70,81,59,59,75,27,49,10,Striker
7109,Fabrício,Portimonense SC,27,Portuguese Primeira Liga,Brazil,182,75,59,69,65,70,35,73,11,Striker
7110,S. Gustafson,Torino,22,Italian Serie A,Sweden,187,79,62,59,68,72,52,61,12,Midfielder
7111,C. Dell'Orco,Sassuolo,23,Italian Serie A,Italy,183,75,66,37,52,63,69,61,8,Defender
7112,V. Klonaridis,AEK Athens,24,Greek Super League,Greece,180,76,83,68,63,68,45,60,11,Striker
7113,G. Coutinho,AZ Alkmaar,34,Holland Eredivisie,Netherlands,180,74,72,65,60,70,54,66,67,Goalkeeper
7114,M. Pérez,Guadalajara,24,Mexican Liga MX,Mexico,169,75,74,48,65,65,66,66,13,Defender
7115,Pedró,CD Aves,29,Portuguese Primeira Liga,Portugal,180,75,66,56,70,69,40,57,10,Midfielder
7116,S. Kotysch,Sint-Truidense VV,28,Belgian First Division A,Germany,188,81,43,38,59,50,68,71,12,Defender
7117,Luis Valcarce,CD Numancia,24,Spanish Segunda División,Spain,175,70,81,53,64,67,60,69,10,Defender
7118,J. Cardona,Asociacion Deportivo Cali,22,Colombian Primera A,Colombia,169,68,76,59,61,72,39,59,11,Midfielder
7119,B. Vincent,Chicago Fire Soccer Club,23,USA Major League Soccer,United States,180,79,76,45,63,59,64,71,9,Defender
7120,Bruno Gomes,Estoril Praia,20,Portuguese Primeira Liga,Brazil,182,75,75,67,51,64,21,59,11,Striker
7121,S. Bruzzese,KV Kortrijk,28,Belgian First Division A,Belgium,185,82,68,66,69,70,41,67,68,Goalkeeper
7122,I. Vorsah,Ohod Club,29,Saudi Professional League,Ghana,192,77,53,38,57,52,65,80,8,Defender
7123,J. Faussurier,Stade Brestois 29,30,French Ligue 2,France,173,70,66,54,69,61,66,76,10,Defender
7124,C. Ayala,CD America de Cali,31,Colombian Primera A,Colombia,179,74,61,50,62,68,64,69,11,Midfielder
7125,Borja Domínguez,AD Alcorcón,25,Spanish Segunda División,Spain,187,81,39,61,70,61,62,67,10,Midfielder
7126,A. Quan,,31,,China PR,175,75,82,60,65,68,61,64,12,Striker
7127,Z. Erdal,Medicana Sivasspor,29,Turkish Süper Lig,Turkey,182,73,71,51,58,62,65,74,12,Defender
7128,S. Luaibi,Al Shabab,25,Saudi Professional League,Iraq,180,74,52,62,69,66,65,70,12,Midfielder
7129,J. Blayac,RC Strasbourg,34,French Ligue 1,France,187,80,65,64,55,65,33,72,9,Striker
7130,S. Altamiras,San Luis de Quillota,33,Chilian Primera División,Chile,180,73,72,56,68,72,32,58,8,Midfielder
7131,G. Puşcaş,Benevento Calcio,21,Italian Serie A,Romania,188,70,68,67,43,68,24,60,10,Striker
7132,M. Jevtović,Rosenborg BK,24,Norwegian Eliteserien,Serbia,184,70,78,65,61,70,42,68,10,Striker
7133,Elgezabal,CD Numancia,24,Spanish Segunda División,Spain,185,74,56,33,53,49,68,69,11,Defender
7134,Guilherme Sityá,Jagiellonia Białystok,27,Polish Ekstraklasa,Brazil,179,76,79,35,65,69,64,70,8,Defender
7135,J. Bacuna,FC Groningen,19,Holland Eredivisie,Netherlands,178,74,75,62,66,73,56,73,10,Midfielder
7136,L. Frecklington,Rotherham United,31,English League One,Republic of Ireland,180,75,65,65,66,65,54,71,12,Midfielder
7137,V. Marcel,OGC Nice,20,French Ligue 1,France,180,65,72,63,67,73,62,56,10,Midfielder
7138,Escassi,CD Numancia,28,Spanish Segunda División,Spain,185,78,53,41,62,63,65,72,10,Midfielder
7139,J. Van Rankin,U.N.A.M.,24,Mexican Liga MX,Mexico,179,70,76,38,62,67,66,64,11,Defender
7140,M. Bakić,SC Braga,23,Portuguese Primeira Liga,Montenegro,185,78,62,61,68,72,50,59,10,Midfielder
7141,H. Rojas,CD Los Millionarios Bogota,29,Colombian Primera A,Colombia,177,74,70,65,71,70,48,64,13,Midfielder
7142,M. Arrufe,Universidad Católica,29,Chilian Primera División,Chile,178,74,58,57,66,68,33,49,16,Midfielder
7143,Franci Martinho,Associação Atlética Ponte Preta,33,Campeonato Brasileiro Série A,Brazil,191,93,64,69,48,57,22,70,11,Striker
7144,W. Yarbrough,Club León,28,Mexican Liga MX,United States,187,73,67,62,70,68,57,68,67,Goalkeeper
7145,M. Birighitti,NAC Breda,26,Holland Eredivisie,Australia,189,84,70,65,64,73,48,67,68,Goalkeeper
7146,J. Quiñones,Deportes Tolima,27,Colombian Primera A,Colombia,195,86,32,35,40,37,70,76,10,Defender
7147,Pomares,Lorca Deportiva CF,24,Spanish Segunda División,Spain,182,74,75,40,62,61,60,74,9,Defender
7148,Z. Bergdich,FC Sochaux-Montbéliard,28,French Ligue 2,Morocco,174,68,83,51,65,69,64,71,11,Defender
7149,D. Zbozień,Arka Gdynia,28,Polish Ekstraklasa,Poland,186,80,52,49,59,60,73,70,12,Defender
7150,F. Özçal,Bursaspor,26,Turkish Süper Lig,Turkey,170,70,73,60,65,69,51,63,9,Midfielder
7151,J. Byrne,Oldham Athletic,21,English League One,Republic of Ireland,176,73,68,60,70,70,50,66,8,Midfielder
7152,K. Hyland,Al Faisaly,28,Saudi Professional League,Trinidad & Tobago,183,87,58,61,63,67,65,78,10,Defender
7153,Y. Stark,SV Darmstadt 98,26,German 2. Bundesliga,Germany,185,81,69,63,62,64,65,78,9,Defender
7154,M. Tanković,Hammarby IF,22,Swedish Allsvenskan,Sweden,179,74,75,64,63,72,29,63,10,Striker
7155,Raúl Llorente,Western Sydney Wanderers,31,Australian A-League,Spain,170,69,84,38,54,63,64,69,10,Defender
7156,S. Williams,Vancouver Whitecaps FC,27,USA Major League Soccer,United States,180,77,77,55,62,62,65,68,11,Defender
7157,M. Knoll, SSV Jahn Regensburg,26,German 2. Bundesliga,Germany,184,81,74,52,62,63,64,73,12,Defender
7158,A. Gcaba,Orlando Pirates,31,South African PSL,South Africa,180,76,69,44,61,66,68,69,11,Defender
7159,W. Francis,Columbus Crew SC,26,USA Major League Soccer,Costa Rica,175,72,76,49,62,63,64,67,10,Defender
7160,Miguel Cardoso,Tondela,23,Portuguese Primeira Liga,Portugal,176,74,72,61,64,71,35,53,8,Midfielder
7161,E. Duplan,ADO Den Haag,34,Holland Eredivisie,France,180,75,57,65,68,72,55,63,12,Midfielder
7162,Galeno,FC Porto,19,Portuguese Primeira Liga,Brazil,182,72,78,65,57,71,34,63,12,Striker
7163,E. Trejo,Querétaro,27,Mexican Liga MX,Mexico,171,69,79,63,67,72,61,61,12,Midfielder
7164,R. Ince,Bury,24,English League One,England,191,80,70,46,54,63,67,78,13,Defender
7165,Servando,Cádiz C.F.,33,Spanish Segunda División,Spain,181,75,68,44,53,48,63,80,10,Defender
7166,F. Della Rocca,Salernitana,29,Italian Serie B,Italy,182,77,67,62,65,68,55,67,12,Midfielder
7167,G. Saville,Millwall,24,English Championship,Northern Ireland,176,73,64,61,66,64,66,71,11,Midfielder
7168,F. Gounongbe,Cardiff City,29,English Championship,Benin,188,85,64,68,48,59,25,72,11,Striker
7169,M. Gouaida,Hamburger SV,24,German Bundesliga,Tunisia,178,72,77,51,61,72,30,58,13,Midfielder
7170,F. Schönheim,1. FC Union Berlin,30,German 2. Bundesliga,Germany,191,92,71,52,64,60,66,78,13,Defender
7171,R. Wallace,New York City Football Club,29,USA Major League Soccer,Costa Rica,182,75,77,63,63,67,57,72,14,Striker
7172,C. Ramírez,Club Atlas,24,Mexican Liga MX,Mexico,170,67,81,64,61,71,37,56,11,Striker
7173,E. Revolledo,CD Huachipato,29,Chilian Primera División,Chile,184,78,57,63,65,74,45,52,10,Midfielder
7174,I. Uzochukwu,Odense Boldklub,27,Danish Superliga,Nigeria,171,76,75,55,58,68,64,76,10,Midfielder
7175,L. Paulussen,KV Mechelen,26,Belgian First Division A,Belgium,174,70,72,55,60,64,65,69,10,Defender
7176,Pelayo,Albacete Balompié,26,Spanish Segunda División,Spain,184,80,68,55,68,65,64,68,11,Midfielder
7177,Rafinha,HJK Helsinki,35,Finnish Veikkausliiga,Brazil,184,78,59,60,65,64,68,68,10,Defender
7178,A. Vacca,Foggia,27,Italian Serie B,Italy,172,67,73,50,62,67,56,69,11,Midfielder
7179,C. Chimino,Club Atlético Huracán,29,Argentinian Superliga,Argentina,178,72,77,46,55,62,63,68,11,Defender
7180,E. Farias,CD Once Caldas Manizales,29,Colombian Primera A,Venezuela,184,83,62,69,46,62,27,70,11,Striker
7181,Cucurella,FC Barcelona B,18,Spanish Segunda División,Spain,172,69,86,46,62,64,61,69,10,Defender
7182,J. Garro,Godoy Cruz,24,Argentinian Superliga,Argentina,179,71,70,64,55,68,22,62,10,Striker
7183,Anderson Conceição,Grupo Desportivo de Chaves,27,Portuguese Primeira Liga,Brazil,188,81,43,35,45,43,69,69,12,Defender
7184,H. Urrego,Independiente Santa Fe,24,Colombian Primera A,Colombia,183,77,60,32,44,48,66,78,9,Defender
7185,M. McGovern,Norwich City,32,English Championship,Northern Ireland,191,89,69,65,64,69,33,68,67,Goalkeeper
7186,C. Matheu,Club Atlético Huracán,32,Argentinian Superliga,Argentina,182,82,67,25,55,56,67,70,9,Defender
7187,L. Heredia,Colon de Santa Fe,20,Argentinian Superliga,Argentina,185,79,73,66,63,71,34,64,10,Striker
7188,Thiago Cardoso,Estoril Praia,25,Portuguese Primeira Liga,Brazil,185,82,54,36,45,49,66,69,10,Defender
7189,P. Testroet,SG Dynamo Dresden,26,German 2. Bundesliga,Germany,185,86,71,67,55,66,37,76,13,Striker
7190,A. Lindegaard,Burnley,33,English Premier League,Denmark,193,79,68,70,69,67,50,65,68,Goalkeeper
7191,J. Aguirre,Puebla,25,Mexican Liga MX,Argentina,175,69,94,60,60,71,48,60,13,Striker
7192,A. Ajagun,KV Kortrijk,25,Belgian First Division A,Nigeria,168,65,83,69,57,70,20,57,13,Striker
7193,D. O'Dea,Dundee FC,30,Scottish Premiership,Republic of Ireland,185,82,48,26,51,57,68,70,9,Defender
7194,Iriondo,Granada CF,22,Spanish Segunda División,Spain,169,60,77,53,60,64,67,61,12,Defender
7195,A. Oukidja,RC Strasbourg,28,French Ligue 1,France,185,78,72,66,65,70,46,71,69,Goalkeeper
7196,L. Kruse,Holstein Kiel,33,German 2. Bundesliga,Germany,185,84,70,67,56,72,41,65,66,Goalkeeper
7197,Dudú,Ventforet Kofu,27,Japanese J1 League,Brazil,180,75,83,65,63,69,40,71,12,Striker
7198,Matheus Índio,Estoril Praia,21,Portuguese Primeira Liga,Brazil,170,70,76,62,68,71,40,58,11,Midfielder
7199,R. Vincelot,Bradford City,31,English League One,France,177,71,60,57,59,66,66,82,11,Defender
7200,B. Urribarri,Club Atlético Patronato,30,Argentinian Superliga,Argentina,168,64,82,47,66,66,60,59,11,Defender
7201,A. Tonev,Crotone,27,Italian Serie A,Bulgaria,178,65,87,66,65,71,42,60,10,Striker
7202,M. El Makrini,Roda JC Kerkrade,29,Holland Eredivisie,Netherlands,184,74,50,44,61,63,63,74,12,Midfielder
7203,R. Aponzá,CD Los Millionarios Bogota,28,Colombian Primera A,Colombia,174,70,78,57,60,70,27,60,9,Midfielder
7204,I. Pelizzoli,Foggia,36,Italian Serie B,Italy,194,89,69,68,65,64,52,71,67,Goalkeeper
7205,H. Al Raheb,Al Nassr,33,Saudi Professional League,Saudi Arabia,168,63,81,65,43,61,29,67,11,Striker
7206,O. Bouy,C.D. Leonesa S.A.D.,24,Spanish Segunda División,Morocco,181,79,59,61,73,71,66,68,10,Midfielder
7207,J. Dongou Tsafack,Gimnàstic de Tarragona,22,Spanish Segunda División,Cameroon,176,70,87,65,54,65,21,67,11,Striker
7208,J. Mahecha,La Equidad,29,Colombian Primera A,Colombia,176,70,62,60,68,65,62,63,12,Midfielder
7209,Freddy Cardouso,Avaí Futebol Clube,29,Campeonato Brasileiro Série A,Brazil,172,70,65,56,70,71,37,55,12,Midfielder
7210,T. Breukers,Heracles Almelo,29,Holland Eredivisie,Netherlands,182,76,68,48,59,60,67,71,12,Defender
7211,K. Conboy,Randers FC,29,Danish Superliga,Denmark,185,77,67,51,63,63,66,75,10,Defender
7212,G. Charbonnier,Stade Brestois 29,28,French Ligue 2,France,188,80,42,72,63,69,35,64,12,Striker
7213,M. Herrera,Club León,28,Mexican Liga MX,Mexico,183,81,63,36,46,49,68,67,12,Defender
7214,I. Lichnovsky,Necaxa,23,Mexican Liga MX,Chile,188,79,70,33,44,55,67,69,12,Defender
7215,J. MacDonald,Kilmarnock,31,Scottish Premiership,Scotland,185,79,71,63,62,72,22,65,67,Goalkeeper
7216,A. Mlinar Delamea,New England Revolution,26,USA Major League Soccer,Slovenia,183,73,64,32,48,45,67,71,9,Defender
7217,A. Karaer,Osmanlıspor,29,Turkish Süper Lig,Turkey,185,76,72,56,62,67,65,73,11,Defender
7218,L. Brogno,Sparta Rotterdam,24,Holland Eredivisie,Belgium,179,64,78,64,63,72,25,58,12,Striker
7219,F. Vicari,Ferrara (SPAL),22,Italian Serie A,Italy,190,80,43,27,46,43,69,74,11,Defender
7220,R. van Drongelen,Hamburger SV,18,German Bundesliga,Netherlands,188,81,66,25,56,51,67,71,11,Defender
7221,H. Magnússon,Bristol City,24,English Championship,Iceland,190,77,63,42,50,53,70,72,8,Defender
7222,L. Gallegos,Necaxa,25,Mexican Liga MX,Chile,173,73,79,62,63,69,45,59,8,Defender
7223,A. Chumacero,,26,,Bolivia,164,60,66,57,68,67,59,49,10,Midfielder
7224,J. Meredith,Millwall,29,English Championship,Australia,185,74,78,36,59,61,64,73,12,Defender
7225,L. George,Melbourne Victory,30,Australian A-League,Netherlands,175,67,86,64,61,71,30,66,11,Striker
7226,S. Parker,FC Augsburg,24,German Bundesliga,Germany,179,78,79,69,56,70,27,58,9,Striker
7227,T. Boere,FC Twente,24,Holland Eredivisie,Netherlands,184,82,66,71,52,61,23,73,10,Striker
7228,P. Gladon,Heracles Almelo,25,Holland Eredivisie,Netherlands,188,83,55,67,52,60,30,68,13,Striker
7229,M. Duelund,FC Midtjylland,20,Danish Superliga,Denmark,178,70,73,65,67,73,47,69,12,Midfielder
7230,A. Ordóñez,Eintracht Frankfurt,23,German Bundesliga,Ecuador,186,79,68,34,38,48,68,71,8,Defender
7231,M. Seuntjens,AZ Alkmaar,25,Holland Eredivisie,Netherlands,187,81,67,66,65,69,61,75,10,Striker
7232,E. Pogatetz,LASK Linz,34,Austrian Bundesliga,Austria,191,90,33,34,44,35,67,81,9,Defender
7233,D. de Vries,Celtic,36,Scottish Premiership,Netherlands,190,96,68,66,71,67,41,65,67,Goalkeeper
7234,G. Modica,1. FC Kaiserslautern,26,German 2. Bundesliga,Argentina,184,83,59,35,37,48,68,72,9,Defender
7235,P. Bernier,Montreal Impact,37,USA Major League Soccer,Canada,176,81,46,56,69,69,59,64,12,Midfielder
7236,M. Rubin,Foggia,29,Italian Serie B,Italy,184,75,76,43,60,60,64,75,11,Defender
7237,C. Telo,Molde FK,27,Norwegian Eliteserien,Sweden,172,72,78,44,63,71,58,68,10,Defender
7238,G. Koffie,New England Revolution,25,USA Major League Soccer,Ghana,183,70,70,59,60,68,64,79,9,Midfielder
7239,M. van der Hart,PEC Zwolle,23,Holland Eredivisie,Netherlands,190,91,73,60,70,75,42,62,68,Goalkeeper
7240,C. Arango,CD Aves,22,Portuguese Primeira Liga,Colombia,180,78,70,68,46,69,24,71,10,Striker
7241,M. Karl,SV Sandhausen,31,German 2. Bundesliga,Germany,192,88,44,57,61,56,68,79,12,Defender
7242,A. Weis, SSV Jahn Regensburg,27,German 2. Bundesliga,Germany,189,84,71,66,63,74,39,59,67,Goalkeeper
7243,V. Podberezkin,FC Krasnodar,25,Russian Premier League,Russia,187,76,63,65,66,69,63,61,13,Midfielder
7244,Sergio Marcos,Real Valladolid,25,Spanish Segunda División,Spain,176,69,61,61,70,68,48,58,9,Midfielder
7245,Adão Morrinhos,Cruzeiro,25,Campeonato Brasileiro Série A,Brazil,177,73,69,72,54,65,25,63,12,Striker
7246,G. Til,AZ Alkmaar,19,Holland Eredivisie,Netherlands,183,74,70,61,65,67,54,59,11,Midfielder
7247,A. Sosnin,Dinamo Moscow,27,Russian Premier League,Russia,178,72,70,51,66,62,69,60,9,Defender
7248,M. Ureña,San Jose Earthquakes,27,USA Major League Soccer,Costa Rica,179,70,83,65,58,71,40,70,12,Striker
7249,S. Schwab,SK Rapid Wien,26,Austrian Bundesliga,Austria,183,78,69,65,67,66,61,76,12,Midfielder
7250,A. Browne,Preston North End,22,English Championship,Republic of Ireland,173,71,73,60,63,68,65,78,13,Defender
7251,J. Rinne,Aalborg BK,24,Danish Superliga,Sweden,187,81,76,63,67,73,47,62,68,Goalkeeper
7252,D. Perkins,Wigan Athletic,35,English League One,England,168,76,63,52,63,65,61,72,10,Midfielder
7253,Eduardo,Estoril Praia,24,Portuguese Primeira Liga,Brazil,178,73,63,60,69,71,49,58,11,Midfielder
7254,Varela,Real Oviedo,22,Spanish Segunda División,Spain,174,68,77,43,62,65,63,62,13,Defender
7255,M. Fatau,Al Qadisiyah,24,Saudi Professional League,Ghana,178,75,65,45,60,62,66,76,10,Defender
7256,J. Ielsch,Amiens SC Football,34,French Ligue 1,France,173,72,74,39,62,66,64,65,11,Defender
7257,J. Wallace,Millwall,23,English Championship,England,178,70,78,61,63,68,43,66,11,Midfielder
7258,T. Lam,FC Twente,23,Holland Eredivisie,Finland,188,76,67,54,59,64,66,71,13,Defender
7259,Caro,Córdoba CF,24,Spanish Segunda División,Spain,182,70,67,43,56,54,68,71,11,Defender
7260,Jesús Imaz,Wisła Kraków,26,Polish Ekstraklasa,Spain,174,70,74,68,60,69,30,59,10,Striker
7261,N. Wako,Kashiwa Reysol,27,Japanese J1 League,Japan,171,65,81,45,59,67,59,63,10,Defender
7262,E. Mendy,Stade de Reims,25,French Ligue 2,France,197,86,71,56,47,72,27,69,63,Goalkeeper
7263,A. Mendoza,U.N.A.M.,23,Mexican Liga MX,Mexico,173,77,72,50,67,65,65,72,12,Defender
7264,D. Bain,Le Havre AC,23,French Ligue 2,France,181,74,71,22,41,40,68,71,10,Defender
7265,J. Roa,Independiente Santa Fe,25,Colombian Primera A,Colombia,172,67,75,46,63,69,64,79,11,Defender
7266,J. Payne,Oxford United,22,English League One,England,169,60,77,62,62,70,21,46,13,Midfielder
7267,L. Valzania,Pescara,21,Italian Serie B,Italy,184,77,71,57,63,66,52,60,7,Midfielder
7268,A. Huancañez,Deportes Iquique,33,Chilian Primera División,Chile,174,69,76,70,50,76,26,50,12,Striker
7269,J. George, SSV Jahn Regensburg,24,German 2. Bundesliga,Germany,176,75,81,63,56,71,24,73,10,Striker
7270,X. Chavalerin,Stade de Reims,26,French Ligue 2,France,179,69,71,62,70,65,56,57,11,Midfielder
7271,C. Deac,,31,,Romania,177,66,65,66,68,67,50,68,11,Midfielder
7272,C. Schoppenhauer,FC St. Pauli,25,German 2. Bundesliga,Germany,185,77,51,22,37,44,68,70,10,Defender
7273,A. Demircan,Atiker Konyaspor,26,Turkish Süper Lig,Turkey,193,94,67,64,64,72,46,69,67,Goalkeeper
7274,J. Uchuari,,23,,Ecuador,162,60,67,69,66,70,38,56,11,Midfielder
7275,Marc Gual,Sevilla Atlético,21,Spanish Segunda División,Spain,186,75,70,70,51,64,18,54,9,Striker
7276,R. Camacho,Waasland-Beveren,26,Belgian First Division A,France,185,79,53,37,59,58,66,71,10,Defender
7277,K. Petersen,Odense Boldklub,32,Danish Superliga,Denmark,187,82,50,32,49,49,67,75,11,Defender
7278,C. Colmán,FC Dallas,23,USA Major League Soccer,Paraguay,180,79,77,66,45,66,22,68,7,Striker
7279,Tiago Galvão,Grupo Desportivo de Chaves,27,Portuguese Primeira Liga,Brazil,185,78,59,56,69,68,44,59,11,Midfielder
7280,E. Enza-Yamissi,Valenciennes FC,34,French Ligue 2,Central African Rep.,175,70,68,53,64,71,63,77,19,Defender
7281,E. Ward,Blackburn Rovers,32,English League One,England,185,83,40,36,45,41,68,70,11,Defender
7282,Cris Laranjeiros,Coritiba Foot Ball Club,33,Campeonato Brasileiro Série A,Brazil,175,72,76,68,51,68,26,62,15,Striker
7283,J. Bothroyd,Hokkaido Consadole Sapporo,35,Japanese J1 League,England,190,89,46,68,63,66,25,74,14,Striker
7284,E. Dening,Evkur Yeni Malatyaspor,28,Turkish Süper Lig,Argentina,176,70,74,68,57,73,18,53,10,Striker
7285,T. Diagouraga,Plymouth Argyle,30,English League One,France,188,72,65,52,65,66,66,71,9,Midfielder
7286,V. Sarno,Foggia,29,Italian Serie B,Italy,167,63,83,57,64,75,28,59,11,Midfielder
7287,C. McLaughlin,Millwall,25,English Championship,Northern Ireland,183,71,70,45,58,64,65,71,9,Defender
7288,J. Fjóluson,IFK Norrköping,28,Swedish Allsvenskan,Iceland,191,86,51,48,53,51,66,76,13,Defender
7289,J. Vanlerberghe,Club Brugge KV,21,Belgian First Division A,Belgium,189,82,75,59,67,65,67,70,13,Defender
7290,M. Osuna,Monarcas Morelia,28,Mexican Liga MX,Mexico,177,76,67,61,63,65,68,67,11,Defender
7291,L. Villalba,Club Atlético Huracán,22,Argentinian Superliga,Argentina,177,73,79,45,64,63,61,65,12,Defender
7292,M. Neumayr,Kasimpaşa SK,31,Turkish Süper Lig,Germany,181,72,72,69,69,68,52,62,1,Midfielder
7293,Tiago Lopes,Kayserispor,28,Turkish Süper Lig,Portugal,180,66,74,52,61,67,63,70,11,Defender
7294,B. Dack,Blackburn Rovers,23,English League One,England,175,71,78,66,68,66,54,71,11,Midfielder
7295,J. Bednarek,Southampton,21,English Premier League,Poland,189,77,66,22,48,46,66,74,11,Defender
7296,F. Jensen,SV Zulte-Waregem,24,Belgian First Division A,Norway,185,73,58,54,63,65,61,67,12,Midfielder
7297,M. Borjan,,29,,Canada,193,84,73,59,68,69,43,69,68,Goalkeeper
7298,F. Dastineda,Club de Deportes Temuco,33,Chilian Primera División,Chile,191,93,64,69,48,57,22,70,11,Striker
7299,Arthur Silbeira,Clube Atlético Paranaense,33,Campeonato Brasileiro Série A,Brazil,178,78,64,71,57,68,32,60,13,Striker
7300,E. Makeev,FC Rostov,27,Russian Premier League,Russia,183,73,77,52,62,68,67,67,8,Defender
7301,M. Kegel,SC Fortuna Köln,27,German 3. Liga,Germany,183,82,62,55,68,62,57,63,12,Midfielder
7302,Jhon Cley,Al Qadisiyah,23,Saudi Professional League,Brazil,180,78,68,66,60,72,27,67,13,Striker
7303,S. Ojeda,Bahía Blanca,25,Argentinian Superliga,Argentina,183,85,50,34,41,42,67,74,9,Defender
7304,K. Keleş,Akhisar Belediyespor,29,Turkish Süper Lig,Turkey,174,67,77,53,58,67,64,57,11,Defender
7305,Rubén Alcaraz,UD Almería,26,Spanish Segunda División,Spain,180,80,57,64,68,58,63,70,12,Midfielder
7306,B. Merlini,San Lorenzo de Almagro,21,Argentinian Superliga,Argentina,165,62,82,59,66,71,42,53,11,Midfielder
7307,B. Castillo,Atlético Huila,39,Colombian Primera A,Colombia,185,86,62,68,65,66,40,73,67,Goalkeeper
7308,S. MacLean,St. Johnstone FC,34,Scottish Premiership,Scotland,180,79,63,64,59,66,36,76,11,Striker
7309,T. Nedelev,,24,,Bulgaria,176,70,76,66,66,71,25,48,9,Striker
7310,S. Jamieson,Melbourne City,28,Australian A-League,Australia,177,71,73,52,61,63,66,76,11,Defender
7311,L. Noriega,Querétaro,32,Mexican Liga MX,Mexico,172,73,65,62,65,65,65,76,9,Midfielder
7312,K. Kronholm,Holstein Kiel,31,German 2. Bundesliga,United States,189,85,71,65,61,67,36,65,66,Goalkeeper
7313,Leandro,Vissel Kobe,32,Japanese J1 League,Brazil,176,70,53,69,61,66,36,53,9,Striker
7314,D. Nazarov,FC Erzgebirge Aue,27,German 2. Bundesliga,Azerbaijan,185,74,78,69,64,70,29,64,12,Striker
7315,Z. Yavru,Gençlerbirliği SK,25,Turkish Süper Lig,Turkey,178,78,80,52,56,66,64,69,10,Defender
7316,J. Assoubre,Gimnàstic de Tarragona,24,Spanish Segunda División,Ivory Coast,180,67,86,57,57,75,28,62,9,Striker
7317,P. Hidi,Real Oviedo,26,Spanish Segunda División,Hungary,186,78,59,64,73,66,51,57,11,Midfielder
7318,J. Borring,FC Midtjylland,32,Danish Superliga,Denmark,193,81,76,63,65,63,40,71,14,Striker
7319,P. Eze,Atiker Konyaspor,24,Turkish Süper Lig,Nigeria,186,78,80,68,47,64,24,78,14,Striker
7320,Enzio Julião,Associação Chapecoense de Futebol,33,Campeonato Brasileiro Série A,Brazil,185,78,74,65,55,68,44,66,10,Striker
7321,R. Peña,Moreirense FC,20,Portuguese Primeira Liga,Venezuela,183,78,67,65,46,65,20,70,9,Striker
7322,V. Berisha,SK Rapid Wien,23,Austrian Bundesliga,Norway,175,71,81,66,58,70,35,78,12,Striker
7323,A. Miranchuk,Lokomotiv Moscow,21,Russian Premier League,Russia,183,72,70,62,64,70,28,61,11,Striker
7324,K. Hoggas,Bourg en Bresse Péronnas 01,25,French Ligue 2,France,183,73,66,66,69,69,44,67,10,Striker
7325,D. González,Club Atlético Patronato,23,Argentinian Superliga,Venezuela,178,70,81,66,58,72,41,71,8,Striker
7326,L. Chará,Águilas Doradas,36,Colombian Primera A,Colombia,170,70,56,57,62,64,66,64,10,Midfielder
7327,Carlos Abad,CD Tenerife,22,Spanish Segunda División,Spain,193,88,68,69,64,66,47,67,67,Goalkeeper
7328,T. Cardona,Godoy Cruz,21,Argentinian Superliga,Argentina,188,80,61,45,44,54,67,76,12,Defender
7329,B. Radunović,Salernitana,21,Italian Serie B,Serbia,194,90,70,64,61,70,41,70,67,Goalkeeper
7330,D. Hovorka,Sparta Praha,23,Czech Liga,Czech Republic,179,73,71,35,53,57,67,72,10,Defender
7331,M. Emnes,Akhisar Belediyespor,29,Turkish Süper Lig,Netherlands,180,66,80,66,66,73,36,58,10,Striker
7332,N. Şahin,Gençlerbirliği SK,27,Turkish Süper Lig,Turkey,191,85,68,66,64,71,45,67,67,Goalkeeper
7333,J. Vela,Atlético Huila,24,Colombian Primera A,Colombia,174,69,75,54,67,69,28,49,10,Midfielder
7334,G. Torres,FC Lausanne-Sports,28,Swiss Super League,Panama,180,75,78,66,60,69,30,64,7,Striker
7335,J. Repas,SM Caen,20,French Ligue 1,Slovenia,171,68,77,60,66,69,40,51,9,Midfielder
7336,N. Etheridge,Cardiff City,27,English Championship,Philippines,191,89,72,63,62,72,52,64,67,Goalkeeper
7337,L. Duarte,Heracles Almelo,26,Holland Eredivisie,Netherlands,168,65,56,67,71,70,54,61,11,Midfielder
7338,N. Mäenpää,Brighton & Hove Albion,32,English Premier League,Finland,190,86,70,68,56,66,35,64,65,Goalkeeper
7339,P. Cibicki,Leeds United,23,English Championship,Sweden,184,73,82,65,62,68,30,63,8,Striker
7340,J. Mezú,Jaguares Fútbol Club,27,Colombian Primera A,Colombia,170,70,83,51,70,69,52,59,9,Midfielder
7341,Gian Martins,FC Paços de Ferreira,24,Portuguese Primeira Liga,Brazil,184,74,72,54,64,72,53,75,11,Midfielder
7342,J. Tallo,Vitória Guimarães,24,Portuguese Primeira Liga,Ivory Coast,185,77,66,66,60,67,28,67,12,Striker
7343,A. Taylor,Bolton Wanderers,30,English Championship,England,178,69,64,44,61,66,68,68,13,Defender
